n   Yn
1	0
2	0
3	1
4	0
5	0
6	1
7	1
8	0
9	0
10	0
11	1
12	0
13	0
14	1
15	0
16	1
17	1
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	1
31	0
32	1
33	1
34	1
35	1
36	0
37	0
38	1
39	0
40	1
41	1
42	1
43	0
44	0
45	1
46	1
47	1
48	0
49	0
50	0
51	1
52	0
53	0
54	1
55	1
56	1
57	0
58	1
59	0
60	1
61	0
62	1
63	0
64	0
65	0
66	0
67	0
68	1
69	1
70	1
71	0
72	1
73	0
74	1
75	0
76	1
77	1
78	1
79	0
80	1
81	1
82	0
83	0
84	0
85	0
86	1
87	0
88	0
89	1
90	0
91	1
92	1
93	0
94	0
95	0
96	1
97	0
98	1
99	1
100	1
101	1
102	0
103	1
104	0
105	1
106	0
107	1
108	0
109	0
110	0
111	1
112	1
113	1
114	0
115	1
116	0
117	0
118	0
119	1
120	1
121	1
122	0
123	1
124	0
125	0
126	0
127	1
128	1
129	1
130	0
131	1
132	0
133	1
134	1
135	1
136	1
137	0
138	0
139	0
140	1
141	0
142	0
143	1
144	0
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	0
154	0
155	1
156	1
157	1
158	0
159	1
160	1
161	0
162	1
163	1
164	1
165	1
166	1
167	0
168	0
169	0
170	1
171	1
172	1
173	0
174	1
175	1
176	1
177	0
178	0
179	0
180	1
181	0
182	1
183	0
184	1
185	0
186	1
187	1
188	0
189	0
190	1
191	0
192	0
193	1
194	1
195	1
196	1
197	0
198	0
199	0
200	0
201	0
202	1
203	0
204	0
205	1
206	0
207	0
208	0
209	0
210	0
211	1
212	1
213	1
214	1
215	0
216	1
217	1
218	1
219	1
220	1
221	1
222	0
223	1
224	1
225	0
226	0
227	1
228	1
229	1
230	1
231	0
232	1
233	0
234	0
235	1
236	1
237	1
238	1
239	1
240	0
241	1
242	1
243	0
244	1
245	0
246	0
247	1
248	0
249	1
250	1
251	0
252	0
253	0
254	1
255	1
256	0
257	0
258	1
259	1
260	0
261	1
262	0
263	0
264	0
265	1
266	1
267	1
268	0
269	1
270	0
271	1
272	0
273	1
274	0
275	0
276	0
277	0
278	1
279	0
280	1
